duration_hours,external_count,replications,mean_response_min_mean,mean_response_min_ci95_low,mean_response_min_ci95_high,cumulative_response_gain_min_mean,cumulative_response_gain_min_ci95_low,cumulative_response_gain_min_ci95_high,marginal_response_gain_min_mean,marginal_response_gain_min_ci95_low,marginal_response_gain_min_ci95_high,total_delay_penalty_yuan_mean,total_delay_penalty_yuan_ci95_low,total_delay_penalty_yuan_ci95_high,avoided_penalty_yuan_mean,avoided_penalty_yuan_ci95_low,avoided_penalty_yuan_ci95_high,avoided_penalty_per_vehicle_yuan_mean,avoided_penalty_per_vehicle_yuan_ci95_low,avoided_penalty_per_vehicle_yuan_ci95_high,marginal_break_even_cost_yuan_mean,marginal_break_even_cost_yuan_ci95_low,marginal_break_even_cost_yuan_ci95_high,external_dispatches_mean,external_dispatches_ci95_low,external_dispatches_ci95_high,incident_zone_scenarios
8.0,2,10,7.92904139611192,5.321906037349166,10.536176754874674,20.67401216537507,15.453174084902155,25.894850245847987,6.250421489731714,3.9560348083399894,8.544808171123439,77565.74170939322,18547.992831196832,136583.4905875896,355428.85101286386,238264.52541928575,472593.17660644196,177714.42550643193,119132.26270964288,236296.58830322098,111988.36214020257,61001.27668603117,162975.44759437398,17.020000000000003,16.00004832568603,18.039951674313976,10
8.0,3,10,5.824376786768424,4.712215671913157,6.936537901623691,22.77867677471857,16.10311725932116,29.45423629011598,2.1046646093434953,0.5823252267242374,3.627003991962753,38128.44178057026,12440.980664664814,63815.90289647571,394866.1509416868,244806.36772253466,544925.934160839,131622.05031389557,81602.12257417818,181641.97805361295,39437.299928822955,5776.395063846932,73098.20479379897,22.880000000000003,21.574465480454354,24.18553451954565,10
8.0,4,10,5.102182205218652,4.658263108396133,5.546101302041171,23.50087135626834,16.178782706938662,30.82296000559802,0.7221945815497721,0.02085711426655046,1.423532048832994,24638.35016949794,14657.663540601532,34619.03679839434,408356.2425527592,243089.74725322163,573622.7378522968,102089.0606381898,60772.43681330541,143405.6844630742,13490.091611072328,-2535.08289035059,29515.266112495246,27.85,26.251035512561877,29.448964487438126,10
8.0,5,10,4.808225609082027,4.571039878832977,5.045411339331077,23.79482795240496,16.257638794329047,31.332017110480876,0.2939565961366256,0.058582222685869184,0.529330969587382,19427.07780773561,14419.994483981474,24434.16113148975,413567.5149145214,243356.1643241765,583778.8655048663,82713.50298290429,48671.2328648353,116755.77310097328,5211.272361762329,-15.669653447580458,10438.214376972239,31.840000000000003,29.980010903865306,33.6999890961347,10
8.0,6,10,4.6910455076353825,4.5099546792379375,4.872136336032828,23.912008053851608,16.29537962366803,31.528636484035186,0.117180101446644,0.03183960421379908,0.2025205986794889,17469.11996010644,13977.213867072627,20961.026053140253,415525.4727621506,243640.24279697196,587410.7027273292,69254.24546035842,40606.70713282865,97901.78378788818,1957.9578476291688,226.50784445374074,3689.407850804597,34.809999999999995,32.507125983524105,37.112874016475885,10
10.0,0,10,24.415532277763084,16.538644089133218,32.29242046639295,0.0,0.0,0.0,,,,443096.36513395107,253211.19379216328,632981.5364757389,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,10
10.0,1,10,11.562273880034603,7.039078324810843,16.08546943525836,12.853258397728478,9.370428419321053,16.336088376135905,12.853258397728478,9.370428419321053,16.336088376135905,173614.15982870903,62865.29976536636,284363.0198920517,269482.20530524204,187832.73265141246,351131.6779590716,269482.20530524204,187832.73265141246,351131.6779590716,269482.20530524204,187832.73265141246,351131.6779590716,10.419999999999998,10.107636585758298,10.732363414241698,10
10.0,2,10,6.698780879440141,4.675792747044764,8.72176901183552,17.71675139832294,11.75942780492931,23.674074991716573,4.863493000594461,2.3330463777149895,7.393939623473933,66386.49632145555,15098.794915372026,117674.19772753907,376709.8688124955,235920.52704332265,517499.2105816683,188354.93440624775,117960.26352166133,258749.60529083415,107227.66350725348,47099.90856410823,167355.41845039875,19.04,18.399987624856177,19.68001237514382,10
10.0,3,10,5.264330674417484,4.4956987110184015,6.032962637816566,19.151201603345594,11.983241113238625,26.31916209345256,1.4344502050226589,0.16121370495623855,2.7076867050890794,34300.485747910236,14558.089156351325,54042.88233946914,408795.8793860409,237565.27983710938,580026.4789349724,136265.2931286803,79188.42661236977,193342.1596449908,32086.010573545325,267.8684355985897,63904.15271149206,25.889999999999997,24.879766773797602,26.900233226202392,10
10.0,4,10,4.759385321088116,4.5188275406164555,4.999943101559777,19.656146956674963,11.94868838863314,27.363605524716785,0.5049453533293675,-0.08476970271074613,1.0946604093694812,23086.642146583163,17503.206856008284,28670.07743715804,420009.72298736795,234922.833823052,605096.6121516839,105002.43074684199,58730.708455763,151274.15303792097,11213.84360132707,-3775.3983557226256,26203.085558376762,31.18,29.89465582763728,32.46534417236272,10
